Mouse,GKD219,GKD310_1,GKD310_2,GKD310,GKD348,GKD176,GKD180,GKD184,GKD138,GKD139,GKD175,GKD035,GKD036_1,GKD036_2,GKD036,GKD073
main_Hypothalamus_LPO,15.09150718,15.53138528,15.81395349,15.67266938,14.82,15.8688172,16.52143295,15.95402299,16.38513514,16.66666667,,16.78313253,16.45535714,15.5638587,16.00960792,17.07396773
main_Hypothalamus_PSTN,,15.51642814,16.10704698,15.81173756,15.77763158,15.95059765,16.71428571,15.92380952,16.94435178,17.18291506,,,,,,16.93684211
main_Hypothalamus_ZI,15.35087719,15.05357143,15.35555556,15.20456349,15.23014706,16.5,16.21678322,16.38273056,17.02610063,17.0206229,17.06125,17.37271519,18.54285714,15.83602151,17.18943932,18.54545455
main_Isocortex_FRP1,18.26647564,17.29824561,18.27034884,17.78429723,17.98218627,18.08232932,20.12360535,18.26423098,18.48181994,18.85354396,18.06944444,19.04882383,18.73620221,19.16333333,18.94976777,18.92307692
main_Isocortex_FRP2-3,19.3951049,18.28726126,18.89968625,18.59347375,18.76958525,19.00147059,20.20165102,18.5015015,18.85195531,19.29846154,19.34381072,19.47920184,18.76818182,19.39252336,19.08035259,19.02115877
main_Isocortex_MO1,17.73469388,17.53108808,17.88358209,17.70733509,18.00865947,17.97429306,18.82267442,18.06231454,17.92592593,18.33994154,18.02033359,,18.51514675,18.60824742,18.56169709,18.57927663
main_Isocortex_MO2-3,18.5907781,17.71216617,18.32110092,18.01663354,18.91014493,18.68449198,19.51167887,18.31843157,18.74911661,19.19583587,18.84073381,19.47567864,18.71951862,19.39275766,19.05613814,18.91839817
main_Isocortex_MO5,17.79623824,17.58017857,17.72492837,17.65255347,17.80523256,18.19050722,17.88640553,17.80769231,18.13905325,17.86009908,17.98608179,18.37012987,17.41075795,18.14940476,17.78008135,17.63755459
main_Isocortex_MO6a,17.416,16.46718147,16.55218255,16.50968201,16.69333333,16.71979594,17.2057815,17.01481481,17.53012048,17.00813344,17,17.25420306,16.61513615,17.35714128,16.98613872,16.54487179
main_Isocortex_MO6b,14.72401434,14.55023923,15.4206297,14.98543447,14.54332402,14.14102564,14.88993599,15.25408239,15.68918919,15.15539013,15.2260274,15.7480608,14.6328125,15.565,15.09890625,14.58518519
main_Isocortex_ORB1,18.05083843,17.64507042,18.00949124,17.82728083,18.10434783,18.36928105,19.20914057,18.37588652,18.06518698,18.51775148,18.08708709,18.91973244,18.618838,19.17947204,18.89915502,18.90778098
main_Isocortex_ORB2-3,18.55780347,17.83311229,18.62754098,18.23032664,18.62643717,18.36229215,19.50205913,18.47925419,18.33329295,18.80160867,18.65165165,19.2688172,18.05977891,18.89855072,18.47916482,18.33231707
main_Isocortex_ORB5,17.47768878,17.24093207,17.39947781,17.32020494,17.25793138,17.60410557,17.83236994,17.57540131,17.53932584,16.92384106,17.60410552,18.1554785,16.74821429,17.61433603,17.18127516,17.09090909
main_Isocortex_ORB6a,17.11632529,16.55162242,16.42648884,16.48905563,16.265625,16.46563014,17.26760563,17.14089347,16.93200428,17.41357695,17.00996678,17.3343465,16.28619529,16.96577947,16.62598738,16.32793456
main_Isocortex_ORB6b,14.93302282,14.8730179,15.591875,15.23244645,14.20930233,14.07906977,15.46781165,15.56953642,15.83731969,16.04545455,15.75327994,16.40275824,14.98756219,15.24489796,15.11623007,15.09317922
main_Isocortex_PTLp1,17.16428571,,,,16.9223301,16.82178218,17.6025641,17.23194339,17.25442478,17.57748354,,18.02040816,18.33223717,18.15460754,18.24342235,17.80249246
main_Isocortex_PTLp2-3,18.37744081,17.98296298,18.046875,18.01491899,18.21052632,18.12180349,18.65254237,18.34328358,19.02,18.7425,18.27374302,19.02413377,18.60294118,18.44320391,18.52307254,18.3203125
main_Isocortex_PTLp4,17.3735032,16.72952586,17.29274611,17.01113599,17.2924282,17.64829396,17.224867,16.99955248,18.29399849,17.51977401,17.4313099,18.55649718,17.85824742,17.62980828,17.74402785,16.88352273
main_Isocortex_PTLp5,17.55851317,16.72031842,16.92369478,16.8220066,16.72112942,17.23670213,17.17894737,17.29446187,17.53846154,17.61417749,17.24582732,17.94642976,16.76189621,17.4044586,17.08317741,17.20490299
main_Isocortex_PTLp6a,16.74962652,15.996918,16.38486842,16.19089321,16.23601607,16.56346749,16.8100975,16.78450048,16.9230954,16.39145907,16.48,16.98019802,16.32142857,16.34717588,16.33430223,15.53494811
main_Isocortex_PTLp6b,15.4725254,14.2516129,15.48679188,14.86920239,15.22142857,15.00564972,15.15189873,15.55882353,16.69753086,15.78282828,14.9847205,16.46972427,14.68471184,15.90057006,15.29264095,15.14479566
main_Isocortex_RSPd1,16.66569767,,,,16.75420875,16.70678484,17.37045269,16.58224543,16.75064267,17.2739726,15.42326733,16.66849315,16.87707641,17.48596663,17.18152152,16.43493049
main_Isocortex_RSPd2-3,17.3427762,,,,17.32345013,17.04018913,18.07449857,17.0700121,17.15716744,17.67419229,16.27152318,17.7475993,18.08522727,17.47663551,17.78093139,17.1303129
main_Isocortex_RSPd5,16.59374355,,,,16.28726287,,,16.64145658,16.66442921,15.82679739,17.23584906,17.23847167,16.9521945,16.51712329,16.73465889,16.18128655
main_Isocortex_RSPd6a,16.7829912,,,,15.37892157,,,15.6875,17.23075814,16.39595798,16.46875,16.77241379,17.44703511,16.62276041,17.03489776,15.29198462
main_Isocortex_RSPv1,16.57213439,16.07820922,16.5470852,16.31264721,17.41690962,17.18834081,16.65185185,16.78980892,17.45454545,17.89772727,17.4313365,18.121673,17.024,17.75892857,17.39146429,17.1682243
main_Isocortex_RSPv2-3,16.16666667,15.99007555,16.16595369,16.07801462,17.053125,17.16010024,17.30864198,16.8255814,17.19480519,17.91111111,17.57193221,17.82465132,16.84315126,17.19427067,17.01871097,16.81746032
main_Isocortex_RSPv5,16.4197861,16.25,16.06097561,16.1554878,16.31190358,16.58672316,16.95962733,16.88235294,17.91317365,18.28632479,17.65075939,17.58333333,15.72952395,16.48409894,16.10681145,16.15015015
main_Isocortex_RSPv6a,16.39234247,15.77079073,16.0418251,15.90630791,14.93617021,16.50320058,16.70416667,16.16216216,16.53589047,15.36757112,16.01941748,16.77620153,15.86365901,16.40977444,16.13671672,16.12402991
main_Isocortex_SS1,17.43910675,,17.78047237,17.78047237,17.15628817,17.31642512,17.8054241,17.58573232,17.81122449,18.02285714,17.68934911,18.59597523,18.53197674,18.60183213,18.56690444,18.18692755
main_Isocortex_SS2-3,18.67591128,18.29538462,18.26525199,18.2803183,18.48059157,18.55797101,18.85483042,18.40467723,19.0925,18.96833773,18.44314869,19.58906665,18.87628429,19.05521472,18.96574951,18.92757604
main_Isocortex_SS4,17.32375979,16.95316524,17.21123335,17.08219929,17.06842105,17.40831075,17.24098054,17.406974,17.68741315,16.97634778,17.36071429,17.84732824,17.5994898,17.59818731,17.59883855,17.21766658
main_Isocortex_SS5,17.66225166,17.02838164,17.04289421,17.03563793,16.99139384,17.46308725,17.2336929,17.39178082,17.74384236,17.22839506,17.30494039,17.78370787,17.13649775,17.53757225,17.337035,17.10263158
main_Isocortex_SS6a,16.99009227,16.60479042,16.01878917,16.3117898,16.41944444,16.90883561,16.51181218,16.82990395,17.04929577,16.57973073,16.58065005,17.02564103,16.00609756,16.55897518,16.28253637,16.01544402
main_Isocortex_SS6b,15.91331269,14.94915254,15.15144984,15.05030119,14.83838384,15.02212389,14.58490566,15.40625,15.78281872,15.2967968,15.31540917,15.88571429,14.71663859,15.43376068,15.07519964,14.48491751
main_Isocortex_VIS1,16.92154381,,,,17.03605124,17.19759036,17.94615385,17.05084746,17.28294702,17.93484419,17.16463179,17.95157385,17.25968992,17.31333333,17.28651163,17.63523573
main_Isocortex_VIS2-3,17.99244948,17.85286104,18.11111111,17.98198607,18.06806283,18.03193949,18.68044077,17.95204626,18.47776635,18.78594249,18.081571,18.76420455,17.6614149,17.62828947,17.64485219,18.113288
