Mouse,GKD219,GKD310_1,GKD310_2,GKD310,GKD348,GKD176,GKD180,GKD184,GKD138,GKD139,GKD175,GKD035,GKD036_1,GKD036_2,GKD036,GKD073
main_Pons_PG,39.74941558,,38.40243038,38.40243038,41.50241117,,41.68121898,38.29941763,35.89576087,42.32220896,,44.01516328,,,,40.56844985
main_Pons_PRNc,30.65801384,26.39701687,25.47504,25.93602843,29.62189655,26.5853,27.42713636,24.80553088,27.21657309,25.20426667,22.76571017,27.97422826,26.03,28.77452271,27.40226135,24.49662069
main_Pons_PRNr,27.68141273,27.57375862,27.02266667,27.29821264,29.70267925,27.62988732,28.48903774,26.36513699,28.27307611,27.00703846,27.41289904,27.7466,28.67514286,26.885725,27.78043393,25.53859259
main_Pons_SOC,29.23090953,25.24061905,24.09939535,24.6700072,32.25327778,,29.98587311,28.41080891,25.05767647,25.08450407,27.02309502,27.58404348,25.663,28.1124844,26.8877422,25.33159091
main_Pons_V,,28.29511475,29.47210811,28.88361143,33.08992301,26.9857533,31.14345886,29.2829358,27.71079582,,26.05302041,30.9499459,25.36603704,29.80066176,27.5833494,25.55361905
main_Striatum_ACBc,50.72769655,45.81032407,47.59870837,46.70451622,45.44805152,47.04657678,44.87900977,45.78008093,37.99571768,38.86115179,42.22042011,39.81529518,35.28204348,40.90081416,38.09142882,35.55953847
main_Striatum_ACBsh,54.497989,49.88686481,49.3965927,49.64172876,48.88108939,51.92870055,48.48995148,49.88632181,43.59158613,45.18196798,43.18683871,42.79092203,37.03243402,43.48843149,40.26043275,40.29718137
main_Striatum_CP,47.83367711,44.87639262,46.6179009,45.74714676,46.44902757,45.60421755,45.63096848,46.27890195,38.30571494,38.88142117,41.2127,40.07756774,37.67194374,39.84905564,38.76049969,36.9908735
main_Striatum_FS,49.17178545,41.1488251,41.26473333,41.20677921,40.11073529,36.49798361,38.13967826,37.97955288,35.72450497,38.30963855,39.8518011,38.26795802,40.29149597,43.71518005,42.00333801,34.49608871
main_Striatum_isl,46.10740669,49.65492706,46.69928634,48.1771067,46.94385714,45.85802954,47.48438701,48.23600676,49.0619496,56.36159836,45.20168988,50.91127844,44.50055736,54.44464836,49.47260286,45.31441628
main_Striatum_OT1,58.13219822,50.5156148,50.47038111,50.49299795,46.79126479,53.32312893,49.76943674,47.67350358,48.18380533,49.12084068,51.04579509,46.53420364,49.56012519,50.66815385,50.11413952,50.22025002
main_Striatum_OT2,59.52119266,51.82503505,51.89114788,51.85809146,48.73899969,51.19370423,48.1397043,48.15428571,45.334145,46.74605414,40.85454887,46.00479688,38.02079776,49.07815337,43.54947557,36.85431597
main_Striatum_OT3,56.13481549,49.60545723,49.4398102,49.52263371,46.08830694,50.3682933,48.64861131,49.33983862,46.66029563,47.86876965,47.2669,47.42900608,45.73612338,49.41913505,47.57762921,45.95640385
main_Thalamus_LD,56.66419636,59.51489855,57.48654643,58.50072249,61.89106684,54.72603273,55.17871374,59.89856279,53.32656726,53.18242568,57.71742647,60.09524994,52.73967876,59.74081459,56.24024667,49.90186319
main_Thalamus_LP,53.76832168,54.43695763,52.65434967,53.54565365,59.25481044,51.07971374,53.07956767,55.85803979,50.7472748,49.82057561,53.83295753,54.86535539,45.89269903,49.48720745,47.68995324,47.25467508
main_Thalamus_PO,56.14756973,61.39999402,59.18353007,60.29176205,64.65055844,60.58172851,58.91455942,65.62409459,56.85243807,55.06053243,57.91049979,62.46005195,52.02240092,59.09240256,55.55740174,52.12413415
main_Thalamus_RT,34.71490476,34.58252353,34.94692308,34.7647233,36.94948537,32.41018182,37.21826531,36.3360479,30.88005909,31.19199527,32.70973401,34.75554054,27.86153125,33.02791589,30.44472357,28.69739093
main_Thalamus_SPFp,36.54408323,37.03811316,34.25180583,35.64495949,34.7048277,33.98609829,37.49666234,37.23252387,32.54377142,33.70275966,29.68621818,34.16588806,26.79125352,33.65268376,30.22196864,29.67618395
main_Thalamus_VPL,,52.78403356,52.16248062,52.47325709,57.69663837,52.97797765,52.15189133,56.52554977,50.57858997,49.07151415,56.15546129,56.97952941,47.12330477,53.16420537,50.14375507,46.3959753
main_Thalamus_VPM,58.16289481,60.65345652,58.81951534,59.73648593,65.91194966,56.80855866,57.38817805,65.07777841,58.12619141,56.77023708,58.44008159,60.7024027,48.97072434,59.82247586,54.3966001,51.63171842
